opis,A,B,C,D,E,F
1DK1,2597.4,2675.65,10265.61,10299.9,0.0,19044.06
1DK2,2515.34,2619.78,9991.22,10128.22,9017.25,18708.76
1DK3,2649.13,2601.18,10251.0,10504.32,9488.78,19043.25
1DK4,2553.45,2622.36,9910.74,10153.1,9210.04,18518.76
1JK1,2582.92,2677.65,10118.53,10433.14,9388.84,19044.74
1JK2,2565.11,2632.09,10036.09,10209.43,9271.59,18829.61
1JK3,2616.92,2605.17,10147.27,10411.59,9293.93,19015.82
1JK4,2492.07,2642.09,10069.44,10271.89,9278.05,18852.33
1KK1,2609.34,2616.82,10118.14,10420.7,9307.17,18892.72
1KK2,2542.6,2579.89,10110.07,10221.53,9240.06,18841.58
1KK3,2599.46,2612.52,10116.53,10450.47,9329.76,18977.83
1KK4,2501.81,2593.06,10035.33,10290.53,9253.9,18804.46
2DK1,2496.92,2687.15,10016.7,10451.99,9193.64,18802.75
2DK2,2535.79,2633.47,10108.97,10426.64,9057.27,18908.94
2DK3,2492.72,2647.32,10052.55,10373.9,9114.68,18779.81
2DK4,2543.62,2616.64,10104.83,10418.89,9185.63,18921.11
2JK1,2564.28,2648.83,10047.72,10321.76,8967.81,18902.64
2JK2,2583.83,2544.96,10124.8,10261.0,9243.12,18915.19
2JK3,2566.38,2635.72,10024.5,10336.51,9085.58,18825.06
2JK4,2533.65,2691.09,10189.63,10481.06, ,18902.44
2KK1,2541.33,2657.52,10055.47,10348.19,9052.84,18943.51
2KK2,2563.33,2636.65,10142.61,10254.57,9158.95,18872.63
2KK3,2526.39,2668.4,10009.67,10458.99,9156.41,18736.83
2KK4,2566.59,2677.73,10261.86,10446.86,9303.13,18850.09
3DK1,2592.96,2604.6,10177.64,10160.95,9334.36,18875.14
3DK2,2584.96,2576.69,9987.69,10366.07,9031.06,18914.88
3DK3,2502.38,2630.67,10206.61,10200.27,9254.64,18944.4
3DK4,2570.2,2632.85,9912.72,10378.26,9154.02,18731.63
3JK1,2602.5,2670.55,10204.38,10264.27,9292.4,18871.58
3JK2,2610.48,2659.3,9990.04,10305.36,9116.21,18778.59
3JK3,2569.84,2650.96,10254.74,10387.73,9259.83,18904.44
3JK4,2488.18,2671.65,9979.15,10208.89,9179.08,18764.03
3KK1,2587.43,2582.4,10216.57,10253.51,9291.48,19155.15
3KK2,2538.69,2603.42,9917.41,10240.43,9054.14,18859.28
3KK3,2540.7,2646.98,10175.34,10231.21,9125.09,18903.16
3KK4,2498.3,2587.27,9904.76,10225.4,9135.13,18587.75
