Voivodeship;County/City;Last Update;Confirmed;Deaths
dolnośląskie;no-data;2020-03-26 09:59:02;150;5
kujawsko-pomorskie;no-data;2020-03-26 09:59:02;31;0
lubelskie;no-data;2020-03-26 09:59:02;72;2
lubuskie;no-data;2020-03-26 09:59:02;20;0
łódzkie;no-data;2020-03-26 09:59:02;144;0
małopolskie;no-data;2020-03-26 09:59:02;59;0
mazowieckie;no-data;2020-03-26 09:59:02;251;1
opolskie;no-data;2020-03-26 09:59:02;23;0
podkarpackie;no-data;2020-03-26 09:59:02;44;1
podlaskie;no-data;2020-03-26 09:59:02;10;0
pomorskie;no-data;2020-03-26 09:59:02;25;0
śląskie;no-data;2020-03-26 09:59:02;113;2
świętokrzyskie;no-data;2020-03-26 09:59:02;15;1
warmińsko-mazurskie;no-data;2020-03-26 09:59:02;36;0
wielkopolskie;no-data;2020-03-26 09:59:02;60;2
zachodniopomorskie;no-data;2020-03-26 09:59:02;32;1
Podsumowanie:;Polska;sumy;67.81;0.94
